firstdigit-enter,writing_time,writing_speed,mind_condition,time_key_before_enter_down,number_del,number_break
7270.0,7270.0,0.003301237964236589,1,787.0,0,3
12304.0,12304.0,0.0013816644993498049,1,300.0,5,3
4745.0,4745.0,0.004425711275026343,1,3428.0,1,2
21779.0,21779.0,0.0011019789705679784,1,4283.0,7,3
1937.0,1937.0,0.009292720702116675,1,712.0,1,2
10067.0,10067.0,0.002284692559849012,1,1070.0,3,4
15792.0,15792.0,0.001519756838905775,1,806.0,2,7
14065.0,14065.0,0.0011375755421258443,1,2188.0,0,1
4146.0,4146.0,0.00241196333815726,1,31.0,0,2
14325.0,14325.0,0.001675392670157068,1,3053.0,2,7
208.0,208.0,0.004807692307692308,1,201.0,0,0
220.0,220.0,0.004545454545454545,1,217.0,0,0
161.0,161.0,0.006211180124223602,1,155.0,0,0
189.0,189.0,0.005291005291005291,1,184.0,0,0
128.0,128.0,0.0078125,1,124.0,0,0
265.0,265.0,0.0037735849056603774,1,261.0,0,0
172.0,172.0,0.005813953488372093,1,168.0,0,0
203.0,203.0,0.0049261083743842365,1,199.0,0,0
182.0,182.0,0.005494505494505495,1,176.0,0,0
9140.0,9140.0,0.0009846827133479213,1,3584.0,2,3
10704.0,10704.0,0.0007473841554559044,1,5996.0,6,3
5790.0,5790.0,0.0024179620034542313,1,1991.0,0,1
3456.0,3456.0,0.0028935185185185184,1,541.0,0,1
4248.0,4248.0,0.0018832391713747645,1,2518.0,0,1
5997.0,5997.0,0.0016675004168751042,1,3400.0,0,2
2901.0,2901.0,0.002757669769045157,1,700.0,0,1
10188.0,10188.0,0.0008833922261484099,1,5691.0,4,2
2363.0,2363.0,0.003808717731696995,1,547.0,0,2
2005.0,2005.0,0.00399002493765586,1,767.0,0,2
2803.0,2803.0,0.003210845522654299,1,776.0,0,1
6245.0,6245.0,0.0014411529223378704,1,1514.0,0,1
7514.0,7514.0,0.0011977641735427202,1,28.0,1,2
3674.0,3674.0,0.0024496461622210124,1,1023.0,0,2
172.0,172.0,0.005813953488372093,1,168.0,0,0
201.0,201.0,0.004975124378109453,1,194.0,0,0
176.0,176.0,0.005681818181818182,1,172.0,0,0
192.0,192.0,0.005208333333333333,1,186.0,0,0
138.0,138.0,0.007246376811594203,1,135.0,0,0
176.0,176.0,0.005681818181818182,1,172.0,0,0
185.0,185.0,0.005405405405405406,1,181.0,0,0
219.0,219.0,0.0045662100456621,1,215.0,0,0
157.0,157.0,0.006369426751592357,1,153.0,0,0
2919.0,2919.0,0.0034258307639602604,1,774.0,0,2
1829.0,1829.0,0.0032804811372334607,1,1154.0,0,1
3122.0,3122.0,0.0016015374759769379,1,1572.0,0,1
1680.0,1680.0,0.004761904761904762,1,499.0,0,1
33344.0,33344.0,0.00017994241842610365,1,31411.0,0,1
2319.0,2319.0,0.0021561017680034496,1,850.0,0,1
1670.0,1670.0,0.003592814371257485,1,335.0,0,1
10776.0,10776.0,0.0005567928730512249,1,9471.0,0,1
888.0,888.0,0.00563063063063063,1,322.0,0,1
1552.0,1552.0,0.005154639175257732,1,724.0,0,2
3152.0,3152.0,0.0012690355329949238,1,2351.0,0,1
7706.0,7706.0,0.0007786140669608098,1,5420.0,0,1
3927.0,3927.0,0.002546473134708429,1,30.0,0,2
1511.0,1511.0,0.003970880211780278,1,585.0,0,1
180.0,180.0,0.005555555555555556,1,176.0,0,0
178.0,178.0,0.0056179775280898875,1,172.0,0,0
195.0,195.0,0.005128205128205128,1,191.0,0,0
183.0,183.0,0.00546448087431694,1,178.0,0,0
151.0,151.0,0.006622516556291391,1,146.0,0,0
243.0,243.0,0.00411522633744856,1,239.0,0,0
197.0,197.0,0.005076142131979695,1,193.0,0,0
189.0,189.0,0.005291005291005291,1,187.0,0,0
171.0,171.0,0.005847953216374269,1,165.0,0,0
2241.0,2241.0,0.004016064257028112,1,935.0,0,0
9448.0,9448.0,0.0017993226079593564,1,5037.0,0,2
2980.0,2980.0,0.002348993288590604,1,1617.0,0,1
2459.0,2459.0,0.0024400162667751117,1,671.0,1,1
3993.0,3993.0,0.005259203606311044,1,484.0,1,2
8118.0,8118.0,0.0006159152500615915,1,467.0,1,1
2061.0,2061.0,0.002911208151382824,1,396.0,0,1
8029.0,8029.0,0.000747291069871715,1,7044.0,0,1
1073.0,1073.0,0.005591798695246971,1,319.0,0,1
5258.0,5258.0,0.0026626093571700264,1,689.0,4,4
11813.0,11813.0,0.0017777025311097943,1,1440.0,11,10
8093.0,8093.0,0.0025948350426294327,1,1026.0,0,3
2993.0,2993.0,0.0023387905111927833,1,528.0,0,1
14393.0,14393.0,0.0014590425901479887,1,8315.0,0,4
227.0,227.0,0.004405286343612335,1,222.0,0,0
117.0,117.0,0.008547008547008548,1,115.0,0,0
187.0,187.0,0.0053475935828877,1,183.0,0,0
162.0,162.0,0.006172839506172839,1,156.0,0,0
143.0,143.0,0.006993006993006993,1,140.0,0,0
217.0,217.0,0.004608294930875576,1,210.0,0,0
212.0,212.0,0.0047169811320754715,1,207.0,0,0
230.0,230.0,0.004347826086956522,1,219.0,0,0
173.0,173.0,0.005780346820809248,1,168.0,0,0
3090.0,3090.0,0.0016181229773462784,1,2375.0,0,1
15557.0,15557.0,0.0010927556726875363,1,1526.0,5,3
3538.0,3538.0,0.001978518937252685,1,1221.0,0,1
2037.0,2037.0,0.003436426116838488,1,701.0,0,1
2323.0,2323.0,0.004304778303917348,1,523.0,0,1
1985.0,1985.0,0.003526448362720403,1,317.0,0,1
2175.0,2175.0,0.003218390804597701,1,704.0,0,1
3236.0,3236.0,0.0021631644004944375,1,2227.0,0,1
1246.0,1246.0,0.004815409309791332,1,449.0,0,1
2298.0,2298.0,0.0030461270670147957,1,1301.0,0,1
29509.0,29509.0,0.00023721576468196143,1,767.0,9,5
23550.0,23550.0,0.00021231422505307856,1,1448.0,9,8
3681.0,3681.0,0.0013583265417006249,1,25.0,1,1
1423.0,1423.0,0.004919184820801124,1,4.0,0,3
273.0,273.0,0.003663003663003663,1,268.0,0,0
159.0,159.0,0.006289308176100629,1,154.0,0,0
163.0,163.0,0.006134969325153374,1,156.0,0,0
242.0,242.0,0.004132231404958678,1,237.0,0,0
173.0,173.0,0.005780346820809248,1,170.0,0,0
233.0,233.0,0.004291845493562232,1,231.0,0,0
172.0,172.0,0.005813953488372093,1,169.0,0,0
247.0,247.0,0.004048582995951417,1,243.0,0,0
176.0,176.0,0.005681818181818182,1,170.0,0,0
10212.0,10212.0,0.0012730121425773599,1,5429.0,0,2
17810.0,17810.0,0.0005053340819764177,1,16088.0,0,1
2844.0,2844.0,0.0031645569620253164,1,1153.0,0,1
1504.0,1504.0,0.003989361702127659,1,658.0,0,1
2241.0,2241.0,0.004016064257028112,1,668.0,0,1
1420.0,1420.0,0.0035211267605633804,1,268.0,0,1
1776.0,1776.0,0.0033783783783783786,1,331.0,1,2
1797.0,1797.0,0.0027824151363383415,1,935.0,0,1
1134.0,1134.0,0.005291005291005291,1,471.0,0,1
4288.0,4288.0,0.0032649253731343282,1,781.0,0,2
2656.0,2656.0,0.00338855421686747,1,916.0,0,1
4348.0,4348.0,0.0020699172033118675,1,1209.0,0,1
2417.0,2417.0,0.0024824162184526274,1,369.0,1,3
1820.0,1820.0,0.004945054945054945,1,446.0,0,1
161.0,161.0,0.006211180124223602,1,159.0,0,0
213.0,213.0,0.004694835680751174,1,211.0,0,0
206.0,206.0,0.0048543689320388345,1,201.0,0,0
168.0,168.0,0.005952380952380952,1,165.0,0,0
159.0,159.0,0.006289308176100629,1,157.0,0,0
255.0,255.0,0.00392156862745098,1,249.0,0,0
218.0,218.0,0.0045871559633027525,1,215.0,0,0
153.0,153.0,0.006535947712418301,1,150.0,0,0
164.0,164.0,0.006097560975609756,1,158.0,0,0
3163.0,3163.0,0.0018969332911792601,1,2483.0,0,0
2356.0,2356.0,0.0025466893039049238,1,971.0,0,1
1914.0,1914.0,0.0010449320794148381,1,1188.0,0,0
1642.0,1642.0,0.004263093788063338,1,522.0,0,1
2776.0,2776.0,0.002161383285302594,1,1278.0,0,1
2271.0,2271.0,0.0017613386173491853,1,1317.0,0,1
1822.0,1822.0,0.0038419319429198683,1,420.0,0,1
6305.0,6305.0,0.0007930214115781126,1,5321.0,0,1
4916.0,4916.0,0.0014239218877135883,1,406.0,9,2
4453.0,4453.0,0.001571973950145969,1,3322.0,0,1
2124.0,2124.0,0.002824858757062147,1,1160.0,0,1
2465.0,2465.0,0.002839756592292089,1,1275.0,0,1
14232.0,14232.0,0.0004918493535694211,1,11926.0,0,1
2468.0,2468.0,0.0024311183144246355,1,740.0,1,1
429.0,429.0,0.002331002331002331,1,245.0,0,0
210.0,210.0,0.004761904761904762,1,205.0,0,0
132.0,132.0,0.007575757575757576,1,127.0,0,0
203.0,203.0,0.0049261083743842365,1,199.0,0,0
161.0,161.0,0.006211180124223602,1,156.0,0,0
212.0,212.0,0.0047169811320754715,1,208.0,0,0
184.0,184.0,0.005434782608695652,1,177.0,0,0
161.0,161.0,0.006211180124223602,1,157.0,0,0
192.0,192.0,0.005208333333333333,1,187.0,0,0
14021.0,14021.0,0.0005705727123600314,1,12642.0,0,1
6704.0,6704.0,0.0019391408114558472,1,2230.0,0,2
8424.0,8424.0,0.0011870845204178537,1,4604.0,0,1
6826.0,6826.0,0.0016114854966305303,1,4214.0,0,2
7137.0,7137.0,0.001120919153706039,1,5161.0,0,2
18383.0,18383.0,0.0010335636185606267,1,2952.0,5,1
10567.0,10567.0,0.0007570739093403993,1,7831.0,0,1
4455.0,4455.0,0.0017957351290684624,1,3232.0,0,1
1253.0,1253.0,0.006384676775738229,1,297.0,0,2
4385.0,4385.0,0.0018244013683010262,1,2007.0,0,2
13557.0,13557.0,0.0008113889503577488,1,11997.0,0,1
15951.0,15951.0,0.0005015359538586922,1,13514.0,0,1
43488.0,43488.0,0.00016096394407652686,1,13274.0,7,7
6491.0,6491.0,0.0012324757356339548,1,1357.0,0,1
189.0,189.0,0.005291005291005291,1,183.0,0,0
187.0,187.0,0.0053475935828877,1,181.0,0,0
184.0,184.0,0.005434782608695652,1,180.0,0,0
173.0,173.0,0.005780346820809248,1,168.0,0,0
120.0,120.0,0.008333333333333333,1,116.0,0,0
121.0,121.0,0.008264462809917356,1,116.0,0,0
146.0,146.0,0.00684931506849315,1,141.0,0,0
133.0,133.0,0.007518796992481203,1,128.0,0,0
139.0,139.0,0.007194244604316547,1,135.0,0,0
6328.0,6328.0,0.0014222503160556258,1,5415.0,0,2
7049.0,7049.0,0.0019860973187686196,1,3510.0,0,2
7136.0,7136.0,0.0018217488789237669,1,2637.0,0,1
6528.0,6528.0,0.002144607843137255,1,856.0,2,4
7579.0,7579.0,0.0017152658662092624,1,1387.0,4,3
2035.0,2035.0,0.003931203931203931,1,382.0,0,1
3903.0,3903.0,0.002818344862925954,1,1138.0,0,1
6292.0,6292.0,0.0011125238397965672,1,1034.0,7,3
6856.0,6856.0,0.002042007001166861,1,905.0,3,5
