firstdigit-enter,writing_time,writing_speed,mind_condition,gulpease,time_key_before_enter_down,number_del,number_break
2338.0,2338.0,0.0029940119760479044,2,95,1126.0,0,1
2322.0,2322.0,0.0030146425495262705,3,100,618.0,0,1
2403.0,2403.0,0.0024968789013732834,3,95,745.0,1,1
1253.0,1253.0,0.00558659217877095,3,93,458.0,0,2
1491.0,1491.0,0.0053655264922870555,3,100,480.0,0,1
1231.0,1231.0,0.00487408610885459,3,100,233.0,0,1
2799.0,2799.0,0.003929974991068239,3,100,759.0,0,2
17307.0,17307.0,0.0015022823135147627,3,100,682.0,15,9
1273.0,1273.0,0.004713275726630008,3,100,419.0,0,1
5891.0,5891.0,0.0016975046681378374,3,100,844.0,4,4
3248.0,3248.0,0.002770935960591133,3,100,302.0,5,3
1593.0,1593.0,0.005649717514124294,3,88,445.0,0,1
1937.0,1937.0,0.009292720702116675,3,96,712.0,1,2
2363.0,2363.0,0.003808717731696995,3,100,547.0,0,2
888.0,888.0,0.00563063063063063,3,97,322.0,0,1
1073.0,1073.0,0.005591798695246971,3,100,319.0,0,1
1246.0,1246.0,0.004815409309791332,3,100,449.0,0,1
1134.0,1134.0,0.005291005291005291,3,100,471.0,0,1
4916.0,4916.0,0.0014239218877135883,3,76,406.0,9,2
1253.0,1253.0,0.006384676775738229,3,100,297.0,0,2
6856.0,6856.0,0.002042007001166861,3,100,905.0,3,5
6213.0,6213.0,0.0011266698857234831,3,95,577.0,9,4
4379.0,4379.0,0.0015985384791048184,2,100,3198.0,0,1
2517.0,2517.0,0.0023837902264600714,2,95,1630.0,0,2
1665.0,1665.0,0.004204204204204204,2,93,776.0,0,1
1609.0,1609.0,0.004972032318210068,2,100,599.0,0,1
2378.0,2378.0,0.00336417157275021,2,100,747.0,0,1
2099.0,2099.0,0.0023820867079561697,2,100,1082.0,0,1
2449.0,2449.0,0.0016333197223356473,2,100,1005.0,0,1
1586.0,1586.0,0.0037831021437578815,2,100,787.0,0,1
6292.0,6292.0,0.001589319771137953,2,100,3473.0,0,1
3539.0,3539.0,0.0022605255721955355,2,100,1907.0,0,1
6618.0,6618.0,0.0025687518887881535,2,88,835.0,3,3
15792.0,15792.0,0.001519756838905775,2,96,806.0,2,7
2803.0,2803.0,0.003210845522654299,2,100,776.0,0,1
3152.0,3152.0,0.0012690355329949238,2,97,2351.0,0,1
11813.0,11813.0,0.0017777025311097943,2,100,1440.0,11,10
29509.0,29509.0,0.00023721576468196143,2,100,767.0,9,5
2656.0,2656.0,0.00338855421686747,2,100,916.0,0,1
2124.0,2124.0,0.002824858757062147,2,76,1160.0,0,1
4385.0,4385.0,0.0018244013683010262,2,100,2007.0,0,2
23214.0,23214.0,0.0004307745326096321,2,100,9411.0,5,3
6503.0,6503.0,0.001076426264800861,2,95,3703.0,1,2
3082.0,3082.0,0.0022712524334847503,1,100,635.0,4,2
8869.0,8869.0,0.0006765136994024129,1,95,1603.0,9,7
10232.0,10232.0,0.0006841282251759187,1,93,3170.0,9,8
1597.0,1597.0,0.005009392611145898,1,100,733.0,0,2
1428.0,1428.0,0.0035014005602240898,1,100,701.0,0,1
1637.0,1637.0,0.0030543677458766036,1,100,939.0,0,1
3234.0,3234.0,0.0012368583797155227,1,100,950.0,1,1
1462.0,1462.0,0.0047879616963064295,1,100,618.0,0,1
1545.0,1545.0,0.004530744336569579,1,100,719.0,0,0
1703.0,1703.0,0.004110393423370522,1,100,738.0,0,1
15051.0,15051.0,0.000930170752773902,1,88,585.0,4,1
10067.0,10067.0,0.002284692559849012,1,96,1070.0,3,4
2005.0,2005.0,0.00399002493765586,1,100,767.0,0,2
1552.0,1552.0,0.005154639175257732,1,97,724.0,0,2
5258.0,5258.0,0.0026626093571700264,1,100,689.0,4,4
2298.0,2298.0,0.0030461270670147957,1,100,1301.0,0,1
4288.0,4288.0,0.0032649253731343282,1,100,781.0,0,2
4453.0,4453.0,0.001571973950145969,1,76,3322.0,0,1
13557.0,13557.0,0.0008113889503577488,1,100,11997.0,0,1
9197.0,9197.0,0.0018484288354898336,1,100,2856.0,0,2
7662.0,7662.0,0.0009135995823544767,1,95,2316.0,2,3
2533.0,2533.0,0.0027635215159889457,2,100,1039.0,0,1
7804.0,7804.0,0.0006406970784213224,2,95,3844.0,1,1
6677.0,6677.0,0.0010483750187209825,2,93,1593.0,0,1
2822.0,2822.0,0.002834868887313962,2,100,1286.0,0,1
3420.0,3420.0,0.0023391812865497076,2,100,1582.0,0,1
3113.0,3113.0,0.0016061676839061998,2,100,1548.0,0,1
2083.0,2083.0,0.0019203072491598655,2,100,1302.0,0,1
2053.0,2053.0,0.0029225523623964927,2,100,959.0,0,2
6261.0,6261.0,0.0015971889474524837,2,100,1434.0,2,3
3194.0,3194.0,0.002504696305572949,2,100,1572.0,0,1
18801.0,18801.0,0.000851018562842402,2,88,1672.0,8,6
14065.0,14065.0,0.0011375755421258443,2,96,2188.0,0,1
6245.0,6245.0,0.0014411529223378704,2,100,1514.0,0,1
7706.0,7706.0,0.0007786140669608098,2,97,5420.0,0,1
8093.0,8093.0,0.0025948350426294327,2,100,1026.0,0,3
23550.0,23550.0,0.00021231422505307856,2,100,1448.0,9,8
4348.0,4348.0,0.0020699172033118675,2,100,1209.0,0,1
2465.0,2465.0,0.002839756592292089,2,76,1275.0,0,1
15951.0,15951.0,0.0005015359538586922,2,100,13514.0,0,1
